Month,Sales,Drownings,Temperature
Jan-17,94.2454,178,33.57
Feb-17,112.3879,171,41.18
Mar-17,119.6982,206,46.15
Apr-17,123.2282,274,53.8
May-17,116.0635,358,60.57
Jun-17,123.087,564,70.36
Jul-17,116.2639,662,75.7
Aug-17,113.1717,464,72.01
Sep-17,97.9125,295,66.27
Oct-17,90.4732,222,55.69
Nov-17,77.4378,164,45.03
Dec-17,75.8118,151,34.29
Jan-18,83.4343,177,32.16
Feb-18,99.4899,162,35.51
Mar-18,107.3152,212,42.73
Apr-18,112.4309,247,49.03
May-18,110.3544,390,65.52
Jun-18,124.5841,543,71.55
Jul-18,117.2215,667,75.45
Aug-18,112.6779,463,73.51
Sep-18,103.3118,305,67.53
Oct-18,92.1321,241,53.71
Nov-18,82.4347,154,40.01
Dec-18,76.7608,149,35.51
